item,metric,price
Seed,500 Gms,500
Seed,1 Kg,1000
F Y M,TL,1000
Oil Cakes,KG,10
Trichoderma,KG,150
Azatobactor,KG,50
PSB,KG,50
Neem Oil,LT,300
Mineral Oil,LT,200
Bt Formulation,LT,300
Organic Pesticides,LT,400
Yellow Traps & PheramoneTraps,,1500
Trap Crop Seedlings,,1
