state,district,mandal,village
ANDHRA PRADESH,Adilabad,Jainad,Nirala
ANDHRA PRADESH,Adilabad,Jainad,Balapur
ANDHRA PRADESH,Adilabad,Jainad,Akurla
ANDHRA PRADESH,Adilabad,Jainad,Sangvi (K)
ANDHRA PRADESH,Adilabad,Jainad,Deepaiguda
ANDHRA PRADESH,Adilabad,Jainad,Kowtha
ANDHRA PRADESH,Adilabad,Jainad,Hariyali
ANDHRA PRADESH,Adilabad,Jainad,Bahadurpur
ANDHRA PRADESH,Adilabad,Jainad,Kuthompur
ANDHRA PRADESH,Adilabad,Jainad,Kura
ANDHRA PRADESH,Adilabad,Jainad,Kodekotha
ANDHRA PRADESH,Adilabad,Jainad,Karanji
ANDHRA PRADESH,Adilabad,Jainad,Khapri
ANDHRA PRADESH,Adilabad,Jainad,Umri
ANDHRA PRADESH,Adilabad,Jainad,Belgaon
ANDHRA PRADESH,Adilabad,Jainad,Ballori
ANDHRA PRADESH,Adilabad,Jainad,Makoda
ANDHRA PRADESH,Adilabad,Jainad,Jainad
ANDHRA PRADESH,Adilabad,Jainad,Muktapur
ANDHRA PRADESH,Adilabad,Jainad,Ada
ANDHRA PRADESH,Adilabad,Jainad,Kamtha
ANDHRA PRADESH,Adilabad,Jainad,Pardi (Buzurg)
ANDHRA PRADESH,Adilabad,Jainad,Pardi (Khurd)
ANDHRA PRADESH,Adilabad,Jainad,Pippalgaon
ANDHRA PRADESH,Adilabad,Jainad,Laxmipur (Uligan)
ANDHRA PRADESH,Adilabad,Jainad,Jamini
ANDHRA PRADESH,Adilabad,Jainad,Kanpa (Mediguda)
ANDHRA PRADESH,Adilabad,Jainad,Mangurla
ANDHRA PRADESH,Adilabad,Bela,Bela
ANDHRA PRADESH,Adilabad,Bela,Narayanpur
ANDHRA PRADESH,Adilabad,Bela,Sangdi
ANDHRA PRADESH,Adilabad,Bela,Bhedoda
ANDHRA PRADESH,Adilabad,Bela,Guda
ANDHRA PRADESH,Adilabad,Bela,Kamgarpur
ANDHRA PRADESH,Adilabad,Bela,Manyarpur
ANDHRA PRADESH,Adilabad,Bela,Khagdur
ANDHRA PRADESH,Adilabad,Bela,Mangrool
ANDHRA PRADESH,Adilabad,Bela,Koparuzana
ANDHRA PRADESH,Adilabad,Bela,Kobhai
ANDHRA PRADESH,Adilabad,Bela,Datalpur
ANDHRA PRADESH,Adilabad,Bela,Dehegaon
ANDHRA PRADESH,Adilabad,Bela,Mohabatpur
ANDHRA PRADESH,Adilabad,Bela,Bhodod (Kopsi)
ANDHRA PRADESH,Adilabad,Bela,Shamshabad
ANDHRA PRADESH,Adilabad,Bela,Awalpur
ANDHRA PRADESH,Adilabad,Bela,Sirsanna
ANDHRA PRADESH,Adilabad,Bela,Singapur
ANDHRA PRADESH,Adilabad,Bela,Takli
ANDHRA PRADESH,Adilabad,Bela,Dhoptala
ANDHRA PRADESH,Adilabad,Bela,Bela
ANDHRA PRADESH,Adilabad,Bela,Burhanpur
ANDHRA PRADESH,Adilabad,Bela,Nagrala
ANDHRA PRADESH,Adilabad,Bela,Patan
ANDHRA PRADESH,Adilabad,Bela,Ramkam
ANDHRA PRADESH,Adilabad,Bela,Ponnala
ANDHRA PRADESH,Adilabad,Bela,Chandpalle
ANDHRA PRADESH,Adilabad,Bela,Chaprala
ANDHRA PRADESH,Adilabad,Bela,Warur
ANDHRA PRADESH,Adilabad,Bela,Junoni
ANDHRA PRADESH,Adilabad,Bela,Karoni (K)
ANDHRA PRADESH,Adilabad,Bela,Ekori
ANDHRA PRADESH,Adilabad,Bela,Masala (Buzurg)
ANDHRA PRADESH,Adilabad,Bela,Bhadi
ANDHRA PRADESH,Adilabad,Bela,Masala (Khurd)
ANDHRA PRADESH,Adilabad,Bela,Syedpur
ANDHRA PRADESH,Adilabad,Bela,Toyaguda (Kora)
ANDHRA PRADESH,Adilabad,Bela,Sahej
ANDHRA PRADESH,Adilabad,Bela,Sangvi
ANDHRA PRADESH,Adilabad,Bela,Douna
ANDHRA PRADESH,Adilabad,Bela,Boregaon
ANDHRA PRADESH,Adilabad,Bela,Pohar
ANDHRA PRADESH,Adilabad,Bela,Karoni (B)
ANDHRA PRADESH,Adilabad,Bela,Sadarpur
ANDHRA PRADESH,Adilabad,Bela,Sonkhos
ANDHRA PRADESH,Adilabad,Bela,Khadki
ANDHRA PRADESH,Adilabad,Bela,Pitgaon
ANDHRA PRADESH,Adilabad,Talamadugu,Talamadugu
ANDHRA PRADESH,Adilabad,Talamadugu,Kosai
ANDHRA PRADESH,Adilabad,Talamadugu,Palasi (Buzurg)
ANDHRA PRADESH,Adilabad,Talamadugu,Palasi (Khurd)
ANDHRA PRADESH,Adilabad,Talamadugu,Kuchalapoor
ANDHRA PRADESH,Adilabad,Talamadugu,Lingi
ANDHRA PRADESH,Adilabad,Talamadugu,Sunkidi
ANDHRA PRADESH,Adilabad,Talamadugu,Umadam
